Category,Item,Station,Value,ValueType
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,614,11.51,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,621,9.65,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,626,7.6,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,538,16.16,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,539,21.69,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,541,13.5,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,552,16.74,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,757,8.57,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,506,12.17,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,515,13.66,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,550,10.85,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,553,13.07,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,583,11.4,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,610,9.66,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,655,9.1,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,537,17.85,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,556,16.06,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,578,15.96,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,585,9.24,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,607,15.82,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,676,18.61,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,695,14.1,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,589,10.36,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,589A4,11.02,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,589A5,22.38,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,589A7,11.43,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,657,14.13,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,657A4,8.35,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,657A5,9.36,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,502,11.81,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,520,11.38,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,564,10.81,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,580,9.11,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,586,10.11,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,598,18.09,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,623,9.89,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,629,8.78,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,635,9.88,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,667,13.3,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,549,11.53,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,671,10.05,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,674,12.46,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,740,7.51,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,501,9.86,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,504,13.83,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,519,8.65,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,644,10.63,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,649,17.24,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,678,10.31,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,756,7.79,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,436,9.18,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,442,9.57,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,554,10.7,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,575,8.01,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,660,12.18,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,666,19.36,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,463,11.49,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,531,11.38,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,648,11.51,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,653,8.16,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,663,12.8,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,668,10.6,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,687,8.77,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,692,20.37,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,358,1.84,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,459,10.69,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,570,10.79,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,612A4,9.6,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,640,13.66,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,654,9.15,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,662,15.37,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,593,9.05,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,600,12.23,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,605,9.23,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,664,9.95,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,691,16.37,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,437,9.82,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,438,8.42,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,568,23.22,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,618,10,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,636,15.11,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,636A6,15.69,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,636A8,10.94,Number
Mental Health Workload,Average O/P Stops by Stop Type (Among Veterans with >=1 Stop)  - All Mental Health,656,20.46,Number
Mental Health Workload,Average Daily Census - MH Inpatient,402,13,Number
Mental Health Workload,Average Daily Census - MH Inpatient,405,7,Number
Mental Health Workload,Average Daily Census - MH Inpatient,518,42,Number
Mental Health Workload,Average Daily Census - MH Inpatient,523,86,Number
Mental Health Workload,Average Daily Census - MH Inpatient,631,53,Number
Mental Health Workload,Average Daily Census - MH Inpatient,650,10,Number
Mental Health Workload,Average Daily Census - MH Inpatient,689,17,Number
Mental Health Workload,Average Daily Census - MH Inpatient,528,18,Number
Mental Health Workload,Average Daily Census - MH Inpatient,528A6,0,Number
Mental Health Workload,Average Daily Census - MH Inpatient,528A7,14,Number
Mental Health Workload,Average Daily Census - MH Inpatient,528A8,9,Number
Mental Health Workload,Average Daily Census - MH Inpatient,526,20,Number
Mental Health Workload,Average Daily Census - MH Inpatient,561,43,Number
Mental Health Workload,Average Daily Census - MH Inpatient,620,51,Number
Mental Health Workload,Average Daily Census - MH Inpatient,630,38,Number
Mental Health Workload,Average Daily Census - MH Inpatient,632,32,Number
Mental Health Workload,Average Daily Census - MH Inpatient,540,5,Number
Mental Health Workload,Average Daily Census - MH Inpatient,542,18,Number
Mental Health Workload,Average Daily Census - MH Inpatient,595,19,Number
Mental Health Workload,Average Daily Census - MH Inpatient,642,32,Number
Mental Health Workload,Average Daily Census - MH Inpatient,646,64,Number
Mental Health Workload,Average Daily Census - MH Inpatient,693,8,Number
Mental Health Workload,Average Daily Census - MH Inpatient,512,44,Number
Mental Health Workload,Average Daily Census - MH Inpatient,613,13,Number
Mental Health Workload,Average Daily Census - MH Inpatient,688,22,Number
Mental Health Workload,Average Daily Census - MH Inpatient,558,26,Number
Mental Health Workload,Average Daily Census - MH Inpatient,565,18,Number
Mental Health Workload,Average Daily Census - MH Inpatient,590,32,Number
Mental Health Workload,Average Daily Census - MH Inpatient,637,14,Number
